Sr.No,Smiles,Solvent,AbsorptionMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,molFormula,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Rotatable Bonds,Weiner
11546,c1ccc(-c2nc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cn3)oc2-c2ccccc2)cc1,CCOCC,333,400,Yes,539.637,C38H25N3O,8.9434,-13.064,4,0,417.67,0.10276,43.85,-0.3029,5,6903
9310,CN(C)c1ccc(C=C/C=C/C=C/c2ccc(C#N)cc2)cc1,C1CCOC1,420,609,Yes,302.42,C21H20N2,5.0351,-5.05,2,0,270.07,0.063354,27.03,-9.0789,6,1640
14557,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CCO,360,512,Yes,1174.32,C87H93B2N,23.259,-21.617,1,0,944.57,0.0037583,3.24,-5.278,15,38000
1219,COc1ccc(Oc2ccc3c4c(cccc24)C(=O)N(c2c(C(C)C)cccc2C(C)C)C3=O)cc1,ClCCl,364,434,Yes,479.574,C31H29NO4,7.3828,-9.133,5,0,365.98,0.13561,55.84,1.1179,6,3856
2427,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,350.9,419.01,Yes,487.554,C28H29N3O5,5.5483,-7.537,8,2,379.96,0.2476,102.69,-55.463,10,4829
14072,Cc1ccc(C2=[N+]3C(=Cc4c(C)cc(C)n4[B-]3(F)F)c3ccccc32)[nH]1,ClCCl,608,629,Yes,349.191,C20H18BF2N3,3.466,-7.001,3,1,254.83,0.098889,32.4,-1.7233,1,1373
6528,COc1ccc2c(c1)c1c(c3cc(OC)ccc32)=[N+]2C(=C(c3c(C)cc(C)cc3C)c3cc4c5cc(OC)ccc5c5ccc(OC)cc5c4n3[B-]2(F)F)C=1,Cc1ccccc1,682,717,Yes,730.617,C46H37BF2N2O4,9.214,-14.55,6,0,527.28,0.097121,53.53,-2.7292,5,9988
10892,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,C1CCCCC1,360,450,Yes,307.332,C16H9N3O2S,2.4182,-4.353,5,0,232.41,0.32404,110.74,-8.2035,3,1141
4574,CCOC(=O)C1CC(c2c(C#N)c(C)nn2-c2ccccc2)=CN1c1ccc(Br)cc1,CCO,370,490,Yes,477.361,C24H21BrN4O2,3.2024,-5.534,6,0,334.88,0.17317,71.15,-5.3004,6,2533
3979,CCOC(=O)C1=CN(Cc2ccccc2)C=C(C(=O)OCC)C1,C1CCOC1,367,420,Yes,315.368,C18H21NO4,1.8767,-2.588,5,0,254.54,0.19498,55.84,-1.2914,8,1236
11949,F[B-]1(F)n2c(nc(-c3ccccc3)c2-c2ccccc2)-c2cccc[n+]21,C1CCCCC1,429,517,Yes,345.159,C20H14BF2N3,3.3347,-9.797,3,0,249,0.076546,26.21,-3.1613,2,1433
70,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398,443,Yes,596.984,C42H64N2,13.492,-8.72,2,0,551.42,0.024917,9.86,-15.109,26,11000
1696,CCCCc1cc(CCCC)c2ccc3c(CCCC)cc(CCCC)c4ccc1c2c43,CCCCCC,359,388,Yes,426.685,C32H42,11.363,-10.244,0,0,366.8,0,0,-7.9676,12,2706
8675,CCCCN1C(=O)c2cccc3c(Oc4cc(COc5ccc(N6C(=O)c7cccc8c(NCCN(C)C)ccc(c78)C6=O)cc5)cc(Oc5ccc6c7c(cccc57)C(=O)N(CCCC)C6=O)c4)ccc(c23)C1=O,ClC(Cl)Cl,430,497,Yes,1000.12,C61H53N5O9,10.856,-15.404,14,1,737.64,0.18152,155.1,3.5313,18,32200
4418,CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCCCCCCCCCO,521.8,534.8,Yes,318.217,C18H25BF2N2,3.695,-5.639,2,0,243.43,0.04605,16.61,-1.8956,2,970
14050,CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N,610,652,Yes,433.352,C26H30BF2N3,5.4071,-8.08,3,1,329.6,0.076456,32.4,-1.3683,3,2387
13520,O=S1(=O)c2cc(-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-n3c4ccccc4c4ccccc43)cc21,Cc1ccccc1,379,442,Yes,546.649,C36H22N2O2S,7.9902,-14.782,4,0,384.42,0.11009,52.38,-4.1362,2,5467
1098,c1ccc2cc3cc(-c4cc(-c5nccs5)nc(-c5nccs5)c4)ccc3cc2c1,CCCCCC,375,376,Yes,421.547,C25H15N3S2,6.1989,-6.157,3,0,309.9,0.23759,95.15,1.0167,3,2440
13688,CC1=C(C)c2cccc3c2c(cc2nc4ccccc4nc23)O1,ClCCl,497,563,Yes,298.344,C20H14N2O,4.5482,-5.363,3,0,218.52,0.14617,35.01,-5.6583,0,1042
7071,c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,ClC(Cl)Cl,338,373,Yes,778.914,C50H26N4O2S2,14.499,-22.332,6,0,556.88,0.20259,134.32,2.0027,6,18400
2307,COc1cc(S(=O)(=O)[O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c43,CN(C)P(=O)(N(C)C)N(C)C,395.27,400.91,Yes,469.446,C17H9O10S3,-5.8111,-1.908,10,0,283.23,0.48928,205.97,-8.2351,4,2008
10057,COc1ccc(-c2oc(-c3ccc(OC)cc3)c3c2C=C(C=O)CC(C=O)=C3)cc1,ClC(Cl)Cl,385,502,Yes,400.429,C25H20O5,3.9283,-6.162,5,0,315.75,0.19063,65.74,-3.2783,6,2353
8186,CSc1sc(C(N)=O)c2nnn(C)c(=O)c12,CN(C)C=O,396.5,514,Yes,256.31,C8H8N4O2S2,0.6111,-3.113,6,1,175.05,0.60423,141.66,0.55156,2,392
11562,N#CC1=c2c3cccc4c(Br)ccc(c43)n2[B-](F)(F)[n+]2ccccc21,ClCCl,524,546,Yes,396.001,C18H9BBrF2N3,3.1281,-7.989,3,0,236.18,0.07761,35.42,-9.4504,0,1189
3909,Cc1ccccc1C(=O)NN1C2=C(CC3=C1CC(C)(C)CC3=O)C(=O)CC(C)(C)C2,ClC(Cl)Cl,370,440,Yes,406.524,C25H30N2O3,3.6654,-5.091,5,1,304.53,0.17775,66.48,2.4994,2,2175
11189,CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2cc(-n4c5ccccc5c5ccccc54)ccc2-3)cc1,Cc1ccccc1,375,410,Yes,659.682,C47H42BN3,12.907,-19.954,3,0,505.32,0.029605,18.25,-18.955,7,9428
7813,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)c1,CC#N,413,479,Yes,412.645,C20H12S5,9.1312,-9.628,0,0,292,0.34863,141.2,1.714,4,1675
3901,Cc1ccc(C(=O)NN2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,ClCCl,366,435,Yes,350.417,C21H22N2O3,2.4638,-4.417,5,1,262.19,0.20645,66.48,-0.31154,2,1565
14009,F[B-]1(F)n2cccc2C=C2c3ccccc3C(c3ccc[nH]3)=[N+]21,CO,565,592,Yes,307.11,C17H12BF2N3,2.3263,-5.921,3,1,218.05,0.11557,32.4,-2.735,1,976
11031,COc1cc(OC)cc(-c2nnc(-c3cccc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,CCO,288,391,Yes,486.483,C26H22N4O6,4.3158,-9.436,10,0,375.76,0.29833,114.76,0.19238,8,4577
15095,CCN(CC)c1ccc2c(c1)oc(=O)c1c(=O)oc3c(C)c4oc(=O)c5c(=O)oc6cc(N(CC)CC)ccc6c5c4cc3c12,ClCCl,458,542,Yes,606.629,C35H30N2O8,4.8429,-7.09,10,0,432.56,0.22947,111.68,-3.8322,6,6730
7787,CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc3c(cc12)CCCN3C,CCO,602,658,Yes,537.634,C33H33N2O5,2.513,-5.076,7,0,396.48,0.13728,68.08,-1.6218,6,4740
14109,CCOC(=O)COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=C(c4[nH]c(C)cc4C)c4ccccc4C2=C3)cc1,C1CCOC1,679,703,Yes,553.415,C32H30BF2N3O3,5.5672,-9.358,6,1,418.62,0.13912,67.93,-5.3046,8,6027
1472,CC1CC=C(c2ccc(-c3cccs3)s2)CC1,C1CCOC1,341,412,Yes,260.424,C15H16S2,5.0895,-5.077,0,0,202.15,0.20143,56.48,-0.13998,2,546
10992,CCOC(=O)c1c2c3c(ccc(F)c3c3cc4c(cc13)[Si](C)(C)O[Si]4(C)C)N(C)C2=O,CC#N,380,411,Yes,453.617,C23H24FNO4Si2,6.1808,-7.815,5,0,301.93,0.16438,55.84,-63.944,3,2170
8748,COc1cc(/C=C/C2=CC(/C=C/c3ccc(OS(=O)(=O)c4ccc(C)cc4)c(OC)c3)=[O+][B-](F)(F)O2)ccc1OS(=O)(=O)c1ccc(C)cc1,ClCCl,460.1,505.07,Yes,724.56,C35H31BF2O10S2,6.6295,-6.117,10,0,510.65,0.20985,131.19,-20.634,12,12300
6773,COc1cccc2cc(-c3cc4cccc(OC)c4oc3=O)oc12,Cc1ccccc1,358,448,Yes,322.315,C19H14O5,3.1182,-4.546,5,0,240.79,0.23734,57.9,0.016538,3,1307
15748,COC(=O)C1=C(C(=O)OC)C2=C[C@H]3c4ccccc4[C@]2(S1)c1ccccc13,CC#N,355,489,Yes,376.431,C22H16O4S,2.8774,-5.624,4,0,260.57,0.24397,77.9,-0.39205,4,1485
4034,c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)[nH]c2-c2ccccc2)cc1,C1CCOC1,361,421,Yes,514.63,C36H26N4,8.2668,-10.648,4,2,408.48,0.12221,57.36,0.84471,6,5756
4005,COc1ccc(-c2nc(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)[nH]2)cc1,CO,295,389,Yes,386.45,C24H22N2O3,4.7532,-6.186,5,1,307.65,0.17864,56.37,0.81323,6,2309
1048,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C(=O)OC)cc3)ccc2-c2ccc(-c3ccc(C(=O)OC)cc3)cc21,ClC(Cl)Cl,341,388,Yes,658.92,C45H54O4,13.557,-12.123,4,0,546.63,0.084298,52.6,-21.112,20,9503
7798,O=P1(c2ccccc2)C(c2cccs2)=Cc2ccccc21,C1CCOC1,368,444,Yes,308.34,C18H13OPS,4.7823,-4.452,1,0,223.7,0.1671,55.12,-10.543,2,803
10392,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,CC#N,516,581,Yes,920.383,C62H69N3S2,20.071,-18.034,3,0,743.72,0.093489,87.19,-14.327,26,22200
13752,O=c1c2ccc(N3CCCCC3)cc2oc2cc(N3CCCCC3)ccc12,CO,382.04,448.15,Yes,362.471,C23H26N2O2,5.0326,-6.911,4,0,278.47,0.10823,32.78,0.79105,2,1874
1324,c1ccc(-c2csc(-c3ccncc3)n2)cc1,CC#N,370,498,Yes,238.313,C14H10N2S,3.064,-2.926,2,0,186.24,0.22713,54.02,2.4746,2,543
13133,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(N4c5ccccc5[Si](c5ccccc5)(c5ccccc5)c5ccccc54)cc3)n2)cc1,Cc1ccccc1,376.66,468.05,Yes,656.863,C45H32N4Si,9.7089,-13.048,4,0,498.16,0.073189,41.91,-16.918,6,9369
3131,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc(I)ccc21,CO,414,430,Yes,463.31,C21H22INO3,5.3399,-6.985,4,0,296.42,0.1337,46.61,-22.805,8,1796
5010,CN(C)c1ccc(/C=C/c2cc[n+](CCCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,O,457,597,Yes,518.746,C35H42N4,-1.425,-5.148,4,0,438.58,0.028775,14.24,-3.0022,12,7656
4030,c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)[nH]c2-c2ccccc2)cc1,ClC(Cl)Cl,358,437,Yes,514.63,C36H26N4,8.2668,-10.648,4,2,408.48,0.12221,57.36,0.84471,6,5756
9368,CN(C)c1ccc(C#N)cc1,CC#N,291.77,480.71,Yes,146.192,C9H10N2,1.3916,-2.425,2,0,129.79,0.13183,27.03,-3.9006,1,162
12207,CCCCCCCCOc1ccc(C#Cc2ccc3oc4ccccc4c3c2)c(OCCCCCCCC)c1,ClCCl,314,373,Yes,524.742,C36H44O3,11.737,-9.188,3,0,458.87,0.074335,31.6,-26.785,17,6273
4653,COC1=C/C(=C\C=C2C=CN(Cc3ccc(Br)cc3)C=C2)C=CC1=O,CS(C)=O,619,669,Yes,396.283,C21H18BrNO2,3.611,-4.121,3,0,282.59,0.094094,29.54,1.3061,4,1854
12731,N#Cc1c2nc3ccccn3c2nc2c1nc1ccccn12,ClC(Cl)Cl,425,475,Yes,284.282,C16H8N6,1.8239,-8.638,6,0,210.95,0.29566,71.28,-3.3406,0,922
6001,CC1(C)Nc2cc(Cl)ccc2-c2[nH]c3ccccc3c(=O)c21,Cc1ccccc1,404,460,Yes,310.783,C18H15ClN2O,3.4419,-5.039,3,2,219.96,0.16348,41.13,2.8964,0,903
10435,CCCCC1(CCCC)c2ccccc2-c2ccc(-c3c4c(nc5ccccc35)-c3cc5c(cc3CC4)-c3nc4ccccc4c(-c4ccc6c(c4)C(CCCC)(CCCC)c4ccccc4-6)c3CC5)cc21,ClC(Cl)Cl,377,385,Yes,937.324,C70H68N2,20.291,-19.646,2,0,734.56,0.029868,25.78,-6.6431,14,25700
1980,CC(C)(C)c1cc(-c2cc3c(cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)n3-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)n2-c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)cc(C(C)(C)C)c1,ClCCl,337,662,Yes,1143.61,C86H82N2,19.906,-24.926,2,0,918.46,0.01496,9.86,-1.9309,16,39800
2120,CNCCCN1c2ccccc2CCc2ccccc21,CO,276,356,Yes,266.387,C18H22N2,3.6244,-4.279,2,1,222.34,0.067509,15.27,2.1225,4,759
13510,c1ccc2c(c1)-c1c(cc3ccc4cccc5ccc1c3c45)C21c2cc(-c3ccc4ccc5cccc6ccc3c4c56)ccc2-c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc21,ClC(Cl)Cl,371,424,Yes,841.023,C67H36,18.377,-28.958,0,0,593.61,0,0,-1.5562,2,18200
8164,CCCCN(CCCC)c1ccc(/C=C/c2ccc3nc(/C=C/c4ccc(N(C)C)cc4)c(-c4ccccc4)nc3c2)cc1,ClCCl,482,615,Yes,580.817,C40H44N4,9.7384,-9.248,4,0,489.86,0.059282,32.26,1.5129,13,8505
5914,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,Cc1ccccc1,447,552,Yes,327.342,C20H13N3O2,1.5839,-3.555,5,3,237.74,0.2756,77.75,3.3968,2,1342
13417,CCC1=C(C)C2=C(c3ccc(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,523,534,Yes,632.604,C43H39BF2N2,10.822,-14.499,2,0,479.65,0.023371,16.61,-2.0961,5,7992
5653,c1ccc(-n2c(-c3ccc(-c4ccc(-c5ccc(-c6nc7c8ccccc8c8ccccc8c7n6-c6ccccc6)cc5)cc4)cc3)nc3ccccc32)cc1,CCOCC,340,427,Yes,714.87,C52H34N4,12.777,-20.29,4,0,546.14,0.065331,35.64,0.66115,6,15300
3610,CCc1ccc(/C=C/c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6s5)cc4)o3)cc2)cc1,CCCO,347,422,Yes,484.622,C32H24N2OS,8.8315,-11.475,3,0,382.57,0.14745,67.16,1.7169,6,5234
9353,O=S(=O)([O-])c1ccc(O)c2ccccc12,CC#N,322,358,Yes,223.228,C10H7O4S,-0.9686,-1.532,4,1,150.32,0.37227,85.81,-9.8476,1,326
4077,O=C1OC(c2ccccc2)=N/C1=C\c1ccc(N(c2ccc(/C=C3\N=C(c4ccccc4)OC3=O)cc2)c2ccc(/C=C3/N=C(c4ccccc4)OC3=O)cc2)cc1,CS(C)=O,506,650,Yes,758.788,C48H30N4O6,7.0506,-12.701,10,0,568.15,0.18868,119.22,1.565,9,17100
119,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451,461,Yes,588.704,C44H28O2,11.634,-9.698,2,1,486.7,0.053709,37.3,-9.9953,7,7650
13629,O=S1(=O)c2ccccc2C2(c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc32)c2ccccc21,ClCCl,380,460,Yes,867.082,C61H42N2O2S,13.51,-23.392,4,0,643.69,0.05543,49,-1.9917,8,20200
9588,CCN1C(=CC=Cc2n(CC)c3cc(Cl)c(Cl)cc3[n+]2CC)N(CC)c2cc(Cl)c(Cl)cc21,OCC(O)CO,521,535,Yes,527.345,C25H27Cl4N4,3.821,-7.606,4,0,379.21,0.044118,15.29,-0.69663,7,3196
14524,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,Cc1ccccc1,363,446,Yes,1093.36,C81H81BN2,21.301,-22.1,2,0,866.71,0.0081919,6.48,-5.278,15,31800
536,Cc1cc(=O)oc2cc(/[NH+]=C/C=C3/C=C(C(=O)O)NC(C(=O)O)C3)ccc12,O,520,570,Yes,369.352,C19H17N2O6,-2.136,-2.508,8,4,259.57,0.33432,126.9,-6.0214,4,2090
7022,COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,ClCCl,504,556,Yes,490.309,C28H25BF2O5,5.3691,-4.856,5,0,369.68,0.1082,36.92,-8.2114,8,4181
12537,C[Si]1(C)O[Si](C)(C)c2cc3c(-c4ccccc4)c4cc(Cl)ccc4nc3cc21,ClCCl,376,505,Yes,420.059,C23H22ClNOSi2,7.7913,-8.475,2,0,288.94,0.072576,22.12,-62.554,1,1753
14269,CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3C)c12,ClCCl,408,461,Yes,412.492,C25H24N4O2,4.5078,-7.186,6,0,315.21,0.17576,60.25,3.9283,4,2414
14101,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(c3ccc[nH]3)c3ccccc3C1=C2C,Cc1ccccc1,609,630,Yes,377.245,C22H22BF2N3,3.9058,-6.865,3,1,279.06,0.090303,32.4,-1.3805,2,1639
2314,COc1cc(S(=O)(=O)[O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c43,ClCCl,398.79,406.64,Yes,469.446,C17H9O10S3,-5.8111,-1.908,10,0,283.23,0.48928,205.97,-8.2351,4,2008
13949,N#C/C(=C\C=C\c1ccccc1)c1ccccc1,C1CCOC1,343,422,Yes,231.297,C17H13N,3.9892,-3.941,1,0,205.94,0.065844,23.79,-4.725,3,701
5464,CC1(C)c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2Oc2c(N3c4ccccc4Sc4ccccc43)cccc21,Cc1ccccc1,310,562,Yes,638.793,C42H30N4OS,10.661,-14.784,5,0,473.82,0.13497,76.44,-1.0367,4,7879
1266,COc1ccc(-c2csc(/C(C#N)=C\Nc3ccc(C#N)cc3)n2)cc1,Cc1ccccc1,381,441,Yes,358.424,C20H14N4OS,2.8492,-5.174,5,1,289.33,0.27619,109.97,-1.7115,5,1968
12068,c1csc(-c2nc3ccccc3c3cc4ccccn4c23)c1,CS(C)=O,403,508,Yes,300.384,C19H12N2S,4.7267,-6.753,2,0,222.17,0.1768,45.54,3.0687,1,908
7148,C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,ClCCl,382,447,Yes,438.493,C28H18N6,5.2303,-7.015,6,2,331.86,0.21654,83.14,0.034012,3,3881
2215,CCCCCCC(CCCCCC)n1c(=O)c2c3ccc4cccc5c6cccc7ccc(c2c1=O)c(c76)c3c45,CCOCC,335,495,Yes,527.706,C37H37NO2,11.169,-12.309,3,0,404.34,0.07328,37.38,-13.075,11,4814
2777,Cc1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(C)s5)n4[B-]3(F)F)c3ccccc32)s1,ClCCl,793,841,Yes,485.389,C26H18BF2N3S2,6.638,-11.159,3,0,337.5,0.18797,85.45,-0.52627,2,2851
14148,C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccc(N(C)C)cc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,CO,567,582,Yes,509.406,C31H30BF2N3O,5.0874,-8.436,4,0,397.07,0.062357,29.08,-1.4904,6,4669
11180,CC(C)CCCCN1CCc2c1ccc1c3c(ccc21)CCCC3=O,CCO,410,539,Yes,335.489,C23H29NO,5.936,-6.42,2,0,269.77,0.061497,20.31,-1.95,5,1579
12585,Oc1cc(-c2ccco2)ccc1-c1nc2ccccc2s1,O,354,516,Yes,293.345,C17H11NO2S,4.031,-4.317,3,1,218.12,0.26838,74.5,0.86651,2,954
5742,CCCCC(CC)CN1C(=O)c2cccc3c(C#Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(c23)C1=O,C1CCCCC1,422,462,Yes,576.738,C40H36N2O2,9.863,-10.253,4,0,465.36,0.0713,40.62,-5.4404,10,7863
11452,CCN(CC)c1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,ClCCl,549,603,Yes,355.421,C17H17N5O2S,4.4516,-6.171,7,0,271.35,0.32548,114.91,-7.629,6,1783
2712,Cc1ccc(C2=C3C=C4C(=[N+]3[B-](F)(F)n3c2cc2c3-c3ccccc3C23c2ccccc2-c2ccccc23)c2ccccc2C42c3ccccc3-c3ccccc32)cc1,C1CCOC1,634,642,Yes,758.677,C54H33BF2N2,11.015,-19.97,2,0,529.28,0.02118,16.61,-2.7675,1,11800
165,N#Cc1cccc2[nH]ccc12,CC#N,302.81,380,Yes,142.161,C9H6N2,1.5346,-2.914,2,1,119.14,0.23124,39.58,-4.9705,0,141
705,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CO,359,405,Yes,368.522,C26H28N2,6.2429,-7.975,2,1,285.24,0.080529,24.39,2.2762,2,2006
5555,COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC,ClC(Cl)Cl,396,428,Yes,436.466,C27H20N2O4,5.9477,-10,6,0,326.15,0.20251,66.61,0.19238,5,3165
11993,CN1c2ccc(C(=O)c3ccccc3)cc2Sc2cc(C(=O)c3ccccc3)ccc21,C1CCCCC1,390,499,Yes,421.519,C27H19NO2S,6.1067,-8.572,3,0,314.59,0.14978,62.68,1.57,4,2806
15969,CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#Cc2ccc(C(F)(F)F)cc2)c2cc3ccccc3cc12)(C(C)C)C(C)C,ClCCl,654,667,Yes,626.836,C42H37F3Si,12.663,-11.191,0,0,485.04,0,0,-42.43,6,7280
6586,CCOC(=O)C1c2ccccc2C(=O)N1c1ccc(OC)cc1,CCCCCC,283,453,Yes,311.336,C18H17NO4,2.6406,-3.333,5,0,236.1,0.21021,55.84,-1.203,5,1117
14108,CCOC(=O)COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=C(c4[nH]c(C)cc4C)c4ccccc4C2=C3)cc1,ClCCl,680,705,Yes,553.415,C32H30BF2N3O3,5.5672,-9.358,6,1,418.62,0.13912,67.93,-5.3046,8,6027
14223,COc1ccc(-c2c3ccccc3c3n2[B-](F)(F)[N+]2=Cc4c5ccccc5c(-c5ccc(OC)cc5)n4[B-](F)(F)[N+]2=C3)cc1,ClCCl,571,614,Yes,594.183,C32H24B2F4N4O2,5.5684,-12.918,6,0,418.82,0.10128,51.68,-2.519,4,6091
14554,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,CCCO,360,501,Yes,1093.36,C81H81BN2,21.301,-22.1,2,0,866.71,0.0081919,6.48,-5.278,15,31800
7336,CCN(CC)c1cccc2c1ccc1c(=O)oc(-c3ccc(C(F)(F)F)cc3)cc12,CN(C)C=O,394,613,Yes,411.422,C24H20F3NO2,5.9988,-6.799,3,0,298.38,0.089115,29.54,-5.3944,5,2460
2623,COC(=O)C(Cc1ccc2oc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,329.1,379.51,Yes,561.636,C34H31N3O5,6.8366,-11.274,8,1,426.9,0.20963,95.59,-54.86,9,6779
1737,Cc1ccc(-c2ccc(/C=C/c3ccc(F)cc3)cn2)nc1,CC#N,334,391,Yes,290.34,C19H15FN2,4.1507,-4.29,2,0,235.41,0.093199,25.78,-2.8318,3,1273
413,Cc1nc(-c2ccccc2O)n2c1CCCC2,ClCCl,314,452,Yes,228.294,C14H16N2O,3.257,-2.929,3,1,181.13,0.17082,38.05,0.39385,1,475
4293,CC1=C(Br)C(C)=[N+]2C1=C(c1c(-c3ccccn3)nc3ccccn13)c1c(C)c(Br)c(C)n1[B-]2(F)F,ClCCl,548,571,Yes,599.084,C25H20BBr2F2N5,4.5731,-9.865,5,0,358.68,0.11459,46.8,-7.309,2,2927
463,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,ClCCl,386,469,Yes,383.574,C25H37NO2,7.564,-6.6,3,0,335.84,0.079175,29.54,-23.03,14,2708
12432,CN(C)c1ccc(/C=C/c2cc3ccccc3c[n+]2C)cc1,O,394,625,Yes,289.401,C20H21N2,0.0869,-4.286,2,0,238.5,0.026457,7.12,0.17075,3,1186
14325,COCCOCCOc1ccc(OCCOCCOC)c(C=O)c1,O,350,485,Yes,342.386,C17H26O7,1.0829,-1.66,7,0,287.4,0.25414,72.45,-15.754,15,1816
